time_hours,stage
0.0,N1
0.008333,N1
0.016667,N1
0.025,N1
0.033333,N1
0.041667,N1
0.05,N1
0.058333,N1
0.066667,N1
0.075,N1
0.083333,N1
0.091667,N1
0.1,N3
0.108333,N3
0.116667,N3
0.125,N3
0.133333,N3
0.141667,N3
0.15,N2
0.158333,N2
0.166667,N2
0.175,N2
0.183333,N2
0.191667,N2
0.2,N2
0.208333,N2
0.216667,N2
0.225,N2
0.233333,N2
0.241667,N2
0.25,N2
0.258333,N2
0.266667,N2
0.275,N2
0.283333,N2
0.291667,N2
0.3,N2
0.308333,N2
0.316667,N2
0.325,N2
0.333333,N2
0.341667,N2
0.35,N2
0.358333,N2
0.366667,N3
0.375,N3
0.383333,N3
0.391667,N3
0.4,N3
0.408333,N3
0.416667,N3
0.425,N3
0.433333,N3
0.441667,N3
0.45,N3
0.458333,N3
0.466667,N3
0.475,N3
0.483333,N3
0.491667,N3
0.5,N3
0.508333,N3
0.516667,N3
0.525,N3
0.533333,N3
0.541667,N3
0.55,N3
0.558333,N3
0.566667,N3
0.575,N3
0.583333,N3
0.591667,N3
0.6,N3
0.608333,N3
0.616667,N3
0.625,N3
0.633333,N3
0.641667,N3
0.65,N3
0.658333,N3
0.666667,N3
0.675,N3
0.683333,N3
0.691667,N3
0.7,N3
0.708333,N3
0.716667,N3
0.725,N3
0.733333,N3
0.741667,N3
0.75,N3
0.758333,N3
0.766667,N3
0.775,N3
0.783333,N3
0.791667,N3
0.8,N3
0.808333,N3
0.816667,N3
0.825,N3
0.833333,N3
0.841667,N3
0.85,N3
0.858333,N3
0.866667,N3
0.875,N3
0.883333,N3
0.891667,N3
0.9,N3
0.908333,N3
0.916667,N3
0.925,N3
0.933333,N2
0.941667,N2
0.95,N2
0.958333,N2
0.966667,N2
0.975,N2
0.983333,N2
0.991667,N2
1.0,N2
1.008333,N2
1.016667,N2
1.025,N2
1.033333,N2
1.041667,N2
1.05,N2
1.058333,N2
1.066667,N2
1.075,N2
1.083333,N2
1.091667,N2
1.1,N2
1.108333,N2
1.116667,N2
1.125,N2
1.133333,N2
1.141667,N2
1.15,N2
1.158333,N2
1.166667,N2
1.175,N2
1.183333,N2
1.191667,N2
1.2,N2
1.208333,N2
1.216667,N2
1.225,N2
1.233333,N2
1.241667,N2
1.25,N2
1.258333,N2
1.266667,N2
1.275,N2
1.283333,N2
1.291667,N2
1.3,N2
1.308333,N2
1.316667,N2
1.325,N2
1.333333,N2
1.341667,N2
1.35,N2
1.358333,N2
1.366667,REM
1.375,REM
1.383333,REM
1.391667,REM
1.4,REM
1.408333,REM
1.416667,REM
1.425,REM
1.433333,REM
1.441667,REM
1.45,REM
1.458333,REM
1.466667,REM
1.475,REM
1.483333,REM
1.491667,REM
1.5,N1
1.508333,N1
1.516667,N1
1.525,N1
1.533333,N2
1.541667,N2
1.55,N2
1.558333,N2
1.566667,N2
1.575,N2
1.583333,N2
1.591667,N2
1.6,N2
1.608333,N2
1.616667,N2
1.625,N2
1.633333,N2
1.641667,N2
1.65,N2
1.658333,N2
1.666667,N2
1.675,N2
1.683333,N2
1.691667,N2
1.7,N2
1.708333,N2
1.716667,N2
1.725,N2
1.733333,N2
1.741667,N2
1.75,N2
1.758333,N2
1.766667,N2
1.775,N2
1.783333,N2
1.791667,N2
1.8,N2
1.808333,N2
1.816667,N2
1.825,N2
1.833333,N2
1.841667,N2
1.85,N2
1.858333,N2
1.866667,N2
1.875,N2
1.883333,N3
1.891667,N3
1.9,N3
1.908333,N3
1.916667,N3
1.925,N3
1.933333,N3
1.941667,N3
1.95,N3
1.958333,N3
1.966667,N3
1.975,N3
1.983333,N3
1.991667,N3
2.0,N3
2.008333,N3
2.016667,N3
2.025,N3
2.033333,N3
2.041667,N3
2.05,N3
2.058333,N3
2.066667,N3
2.075,N3
2.083333,N3
2.091667,N3
2.1,N3
2.108333,N3
2.116667,N3
2.125,N3
2.133333,N3
2.141667,N3
2.15,N3
2.158333,N3
2.166667,N3
2.175,N3
2.183333,N3
2.191667,N3
2.2,N3
2.208333,N3
2.216667,N3
2.225,N3
2.233333,N3
2.241667,N3
2.25,N3
2.258333,N3
2.266667,N3
2.275,N3
2.283333,N3
2.291667,N3
2.3,N2
2.308333,N2
2.316667,N2
2.325,N2
2.333333,N2
2.341667,N2
2.35,N2
2.358333,N2
2.366667,N2
2.375,N2
2.383333,N2
2.391667,N2
2.4,N2
2.408333,N2
2.416667,N2
2.425,N2
2.433333,N2
2.441667,N2
2.45,N2
2.458333,N2
2.466667,N2
2.475,N2
2.483333,N2
2.491667,N2
2.5,N2
2.508333,N2
2.516667,N2
2.525,N2
2.533333,N2
2.541667,N2
2.55,N2
2.558333,N2
2.566667,N2
2.575,N2
2.583333,N2
2.591667,N2
2.6,N2
2.608333,N2
2.616667,N2
2.625,N2
2.633333,N2
2.641667,N2
2.65,N2
2.658333,N2
2.666667,N2
2.675,N2
2.683333,N2
2.691667,N2
2.7,N2
2.708333,N2
2.716667,N2
2.725,N2
2.733333,N2
2.741667,N2
2.75,REM
2.758333,REM
2.766667,REM
2.775,REM
2.783333,REM
2.791667,REM
2.8,REM
2.808333,REM
2.816667,REM
2.825,REM
2.833333,REM
2.841667,REM
2.85,REM
2.858333,REM
2.866667,REM
2.875,REM
2.883333,REM
2.891667,REM
2.9,REM
2.908333,REM
2.916667,REM
2.925,REM
2.933333,REM
2.941667,REM
2.95,N1
2.958333,N1
2.966667,N1
2.975,N1
2.983333,N1
2.991667,N1
3.0,N2
3.008333,N2
3.016667,N2
3.025,N2
3.033333,N2
3.041667,N2
3.05,N2
3.058333,N2
3.066667,N2
3.075,N2
3.083333,N2
3.091667,N2
3.1,N2
3.108333,N2
3.116667,N2
3.125,N2
3.133333,N2
3.141667,N2
3.15,N2
3.158333,N2
3.166667,N2
3.175,N2
3.183333,N2
3.191667,N2
3.2,N2
3.208333,N2
3.216667,N2
3.225,N2
3.233333,N2
3.241667,N2
3.25,N2
3.258333,N2
3.266667,N2
3.275,N2
3.283333,N2
3.291667,N2
3.3,N2
3.308333,N2
3.316667,N2
3.325,N2
3.333333,N2
3.341667,N2
3.35,N2
3.358333,N2
3.366667,N3
3.375,N3
3.383333,N3
3.391667,N3
3.4,N3
3.408333,N3
3.416667,N3
3.425,N3
3.433333,N3
3.441667,N3
3.45,N3
3.458333,N3
3.466667,N3
3.475,N3
3.483333,N3
3.491667,N3
